Evaluate office environment:
evaluate mppi
Model mode: PlainNet, model type: q_no
pybullet build time: May 28 2020 16:37:34
skill prior type: gauss
episode time: 4.879631042480469
success rate: 0.7526881720430108
episode index: 93
episode time: 18.040867567062378
success rate: 0.7446808510638298
episode index: 94
episode time: 3.4096696376800537
success rate: 0.7473684210526316
episode index: 95
episode time: 20.102786779403687
success rate: 0.7395833333333334
episode index: 96
episode time: 5.316653728485107
success rate: 0.7422680412371134
episode index: 97
episode time: 19.197163820266724
success rate: 0.7346938775510204
episode index: 98
episode time: 16.20014500617981
success rate: 0.7373737373737373
episode index: 99
episode time: 7.958080768585205
success rate: 0.74
Final success rate: 0.74
skill steps: [5, 4, 2, 0, 6, 7, 6, 2, 6, 2, 3, 0, 4, 4, 2, 9, 3, 9, 5, 3, 9, 3, 4, 6, 3, 4, 7, 2, 9, 1, 3, 0, 3, 1, 8, 5, 7, 9, 8, 0, 1, 2, 4, 8, 0, 7, 0, 6, 0, 8, 1, 4, 5, 0, 8, 8, 6, 0, 4, 0, 7, 1, 8, 8, 7, 1, 3, 5, 8, 8, 7, 5, 6, 7]
Model mode: PlainNet, model type: qhat_true
pybullet build time: May 28 2020 16:37:34
skill prior type: gauss
episode index: 0
episode time: 4.727428913116455
success rate: 1.0
episode index: 1
episode time: 3.4869627952575684
success rate: 1.0
episode index: 2
episode time: 6.625268220901489
success rate: 1.0
episode index: 3
episode time: 18.264770030975342
success rate: 0.75
episode index: 4
episode time: 3.562802791595459
success rate: 0.8
episode index: 5
episode time: 17.840176343917847
success rate: 0.6666666666666666
episode index: 6
episode time: 12.097718477249146
success rate: 0.7142857142857143
episode index: 7
episode time: 3.0608599185943604
success rate: 0.75
episode index: 8
episode time: 11.0702965259552
success rate: 0.7777777777777778
episode index: 9
episode time: 4.446479320526123
success rate: 0.8
episode index: 10
episode time: 7.589927434921265
success rate: 0.8181818181818182
episode index: 11
episode time: 4.1130499839782715
success rate: 0.8333333333333334
episode index: 12
episode time: 11.8596932888031
success rate: 0.8461538461538461
episode index: 13
episode time: 11.652904748916626
success rate: 0.8571428571428571
episode index: 14
episode time: 20.51420307159424
success rate: 0.8
episode index: 15
episode time: 14.202733993530273
success rate: 0.8125
episode index: 16
episode time: 3.8848400115966797
success rate: 0.8235294117647058
episode index: 17
episode time: 12.226258993148804
success rate: 0.8333333333333334
episode index: 18
episode time: 16.97177743911743
success rate: 0.7894736842105263
episode index: 19
episode time: 17.887237787246704
success rate: 0.8
episode index: 20
episode time: 7.240902900695801
success rate: 0.8095238095238095
episode index: 21
episode time: 4.640817403793335
success rate: 0.8181818181818182
episode index: 22
episode time: 10.218268871307373
success rate: 0.8260869565217391
episode index: 23
episode time: 9.3394193649292
success rate: 0.8333333333333334
episode index: 24
